iter	Passed	Remaining
887	18663	6557
888	18684	6536
889	18705	6515
890	18724	6493
891	18744	6472
892	18764	6450
893	18783	6429
894	18803	6407
895	18824	6386
896	18845	6365
897	18865	6344
898	18886	6323
899	18906	6302
900	18924	6280
901	18944	6258
902	18963	6237
903	18983	6215
904	19003	6194
905	19023	6173
906	19043	6151
907	19062	6130
908	19082	6108
909	19103	6087
910	19124	6066
911	19144	6045
912	19167	6025
913	19186	6003
914	19206	5982
915	19227	5961
916	19247	5940
917	19266	5918
918	19287	5897
919	19307	5876
920	19326	5854
921	19346	5833
922	19365	5811
923	19384	5790
924	19403	5768
925	19422	5747
926	19442	5725
927	19461	5704
928	19481	5683
929	19501	5661
930	19520	5640
931	19540	5619
932	19562	5598
933	19583	5577
934	19606	5556
935	19628	5536
936	19650	5515
937	19670	5494
938	19690	5473
939	19712	5452
940	19731	5430
941	19751	5409
942	19770	5388
943	19790	5367
944	19811	5345
945	19830	5324
946	19851	5303
947	19871	5282
948	19890	5260
949	19910	5239
950	19931	5218
951	19950	5197
952	19971	5176
953	19990	5154
954	20008	5133
955	20026	5111
956	20045	5089
957	20065	5068
958	20085	5047
959	20105	5026
960	20126	5005
961	20147	4984
962	20167	4963
963	20187	4942
964	20210	4921
965	20230	4900
966	20251	4879
967	20270	4858
968	20289	4836
969	20308	4815
970	20327	4794
971	20347	4772
972	20368	4752
973	20387	4730
974	20408	4709
975	20427	4688
976	20446	4666
977	20466	4645
978	20485	4624
979	20504	4603
980	20523	4581
981	20540	4559
982	20558	4538
983	20578	4517
984	20597	4495
985	20618	4474
986	20640	4454
987	20661	4433
988	20680	4412
989	20698	4390
990	20718	4369
991	20739	4348
992	20759	4327
993	20780	4306
994	20800	4285
995	20818	4264
996	20837	4242
997	20857	4221
998	20878	4200
999	20898	4179
1000	20918	4158
1001	20939	4137
1002	20962	4117
1003	20983	4096
1004	21002	4075
1005	21022	4054
1006	21043	4033
1007	21064	4012
1008	21084	3991
1009	21104	3970
1010	21123	3948
1011	21143	3927
1012	21163	3906
1013	21187	3886
1014	21207	3865
1015	21228	3844
1016	21249	3823
1017	21270	3802
1018	21289	3781
1019	21308	3760
1020	21329	3739
1021	21350	3718
1022	21371	3697
1023	21392	3676
1024	21412	3655
1025	21432	3634
1026	21453	3613
1027	21473	3592
1028	21491	3571
1029	21510	3550
1030	21531	3529
1031	21552	3508
1032	21572	3487
1033	21591	3466
1034	21611	3445
1035	21631	3424
1036	21650	3403
1037	21669	3381
1038	21690	3361
1039	21710	3340
1040	21730	3319
1041	21750	3298
1042	21769	3276
1043	21789	3255
1044	21811	3235
1045	21830	3214
1046	21849	3192
1047	21869	3171
1048	21890	3151
1049	21909	3129
1050	21930	3109
1051	21949	3087
1052	21968	3066
1053	21990	3046
1054	22010	3025
1055	22031	3004
1056	22051	2983
1057	22070	2962
1058	22090	2941
1059	22112	2920
1060	22133	2899
1061	22153	2878
1062	22174	2857
1063	22196	2837
1064	22217	2816
1065	22237	2795
1066	22257	2774
1067	22278	2753
1068	22298	2732
1069	22317	2711
1070	22339	2690
1071	22359	2669
1072	22380	2648
1073	22400	2628
1074	22419	2606
1075	22440	2586
1076	22461	2565
1077	22480	2544
1078	22501	2523
1079	22521	2502
1080	22541	2481
1081	22562	2460
1082	22582	2439
1083	22601	2418
1084	22620	2397
1085	22639	2376
1086	22658	2355
1087	22680	2334
1088	22699	2313
1089	22718	2292
1090	22739	2271
1091	22760	2251
1092	22781	2230
1093	22800	2209
1094	22820	2188
1095	22838	2167
1096	22859	2146
1097	22881	2125
1098	22900	2104
1099	22920	2083
1100	22939	2062
1101	22958	2041
1102	22978	2020
1103	22999	1999
1104	23019	1979
1105	23039	1958
1106	23061	1937
1107	23082	1916
1108	23100	1895
1109	23120	1874
1110	23141	1853
1111	23160	1832
1112	23182	1812
1113	23204	1791
1114	23224	1770
1115	23244	1749
1116	23263	1728
1117	23284	1707
1118	23303	1686
1119	23322	1665
1120	23342	1645
1121	23361	1624
1122	23382	1603
1123	23404	1582
1124	23425	1561
1125	23446	1540
1126	23465	1519
1127	23486	1499
1128	23507	1478
1129	23526	1457
1130	23547	1436
1131	23569	1415
1132	23588	1394
1133	23607	1374
