Bed,Bath,Month,SubArea,Region,PropertyType
1,1,9,Barisal Sadar,Barishal,Bachelor Room
2,3,8,Bagerhat Sadar,Khulna,Other
1,1,9,Dinajpur Sadar,Rangpur,Family
1,1,10,Sector 12,Dhaka,Bachelor Seat
1,1,9,Nikunja 2,Dhaka,Bachelor Seat
2,2,9,Mirpur 14,Dhaka,Family
1,1,8,Habiganj Sadar,Sylhet,Bachelor Room
2,2,6,Rangpur Sadar,Rangpur,Family
1,1,8,Mirpur,Dhaka,Bachelor Seat
2,1,3,Bahaddarhat,Chittagong,Family
1,1,3,Charpara,Mymensingh,Bachelor Room
2,2,8,Aainusbag,Dhaka,Family
2,1,9,Jalalabad,Sylhet,Family
0,1,9,Uttara,Dhaka,Sublet
1,1,9,Badda,Dhaka,Bachelor Seat
